天通西苑三区,18927,490000,116.415902,40.082007
天通苑东一区,19257,480000,116.442437,40.074589
西斯莱公馆,28436,0,0,0
天通苑东二区,18990,480000,116.446694,40.074343
7克拉,37592,0,116.390919,39.846299
北京像素北区,33704,0,116.395645,39.929986
艺术家工坊,0,0,116.419945,40.089957
东亚上北中心,25133,0,116.347345,40.087955
荣丰2008,45973,114000,116.342574,39.9003
天通西苑二区,20546,480000,116.41576,40.077816
天通苑北二区,20644,480000,116.419945,40.089957
石园北区,16854,600000,116.675396,40.120164
后现代城,36055,180000,116.491703,39.905189
顺驰领海,23863,289000,116.456327,39.811559
旭辉奥都,26854,49500,116.421454,40.051627
天通苑北三区,20184,480000,116.419945,40.089957
北京像素南区,28558,0,116.166165,39.815271
东方太阳城,19807,4887586,116.726702,40.084201
远洋山水,37470,41000,116.244344,39.908092
怡馨家园,19664,210000,116.654752,40.128165
天通西苑一区,21074,490000,116.41678,40.071009
汉华苑,31495,26666,116.470593,39.896086
仓上小区,16447,120000,116.661786,40.118576
佳和宜园,15683,0,116.658314,40.179371
保利茉莉公馆,26641,225000,116.455667,39.934617
望京新城,31045,860000,116.477257,40.000792
五月华庭,45679,8960,116.375366,39.958063
首邑溪谷,33739,104679,116.318021,39.76851
天通苑中苑,20960,480000,116.421361,40.071781
珠江帝景,42527,340000,116.486453,39.895638
悠乐汇,29398,0,116.484354,39.996347
香悦四季,21367,450000,116.665962,40.186866
长城国际,21412,500000,116.638783,39.901295
美利山,32447,250000,116.509349,39.900846
芍药居北里,38498,200000,116.446177,39.992177
东香庭,12148,360000,0,0
首城国际,45663,80000,116.475537,39.89754
前进花园石门苑,18451,35300,116.637304,40.138048
石园南区,15904,65900,116.668488,40.114157
望京西园三区,30943,174100,116.482675,40.006982
林肯公园,26277,137000,116.500288,39.811356
东亚三环,28644,29861,116.377524,39.842162
龙湖香醍漫步四区,17745,316000,123.45393,41.954845
保利金泉,42343,184000,116.651623,40.32562
太月园,43736,54500,116.353923,39.979596
兴隆家园,32243,250000,116.530043,39.919897
星河湾,50629,346700,116.528853,39.934288
庄胜写字楼,0,194520,116.314012,39.970083
